iter	Passed	Remaining
0	1	109
1	2	105
2	3	106
3	4	99
4	5	105
5	6	103
6	7	102
7	8	101
8	9	99
9	10	98
10	11	96
11	12	95
12	14	94
13	15	92
14	16	91
15	17	89
16	18	88
17	19	86
18	20	86
19	21	85
20	22	84
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	40	63
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	64	41
61	65	40
62	66	39
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
