iter	Passed	Remaining
0	1	1348
1	2	1191
2	3	1175
3	4	1147
4	6	1208
5	7	1190
6	8	1167
7	9	1149
8	10	1131
9	11	1130
10	12	1116
11	13	1111
12	14	1119
13	15	1117
14	16	1111
15	17	1101
16	18	1093
17	19	1087
18	21	1108
19	22	1109
20	23	1104
21	24	1101
22	25	1094
23	26	1088
24	27	1084
25	28	1081
26	29	1079
27	30	1072
28	31	1068
29	32	1066
30	34	1062
31	35	1060
32	36	1066
33	37	1067
34	38	1066
35	39	1062
36	40	1058
37	41	1057
38	42	1053
39	44	1057
40	45	1056
41	46	1053
42	47	1049
43	48	1046
44	49	1044
45	50	1042
46	51	1046
47	52	1046
48	53	1043
49	54	1041
50	55	1040
51	57	1039
52	58	1041
53	59	1039
54	60	1038
55	61	1037
56	62	1036
57	63	1033
58	64	1033
59	65	1031
60	67	1037
61	68	1037
62	69	1039
63	70	1036
64	71	1034
65	73	1038
66	74	1037
67	75	1038
68	76	1038
69	78	1036
70	79	1037
71	80	1035
72	81	1038
73	83	1039
74	84	1036
75	85	1034
76	86	1031
77	87	1029
78	88	1037
79	90	1037
80	91	1036
81	92	1033
82	93	1027
83	94	1025
84	95	1023
85	96	1022
86	97	1025
87	98	1024
88	99	1023
89	100	1021
90	102	1022
91	103	1024
92	104	1023
93	106	1021
94	106	1019
95	108	1018
96	109	1015
97	110	1013
98	111	1012
99	112	1014
100	113	1013
101	114	1011
102	115	1009
103	117	1010
104	118	1012
105	120	1015
106	121	1014
107	122	1012
108	123	1010
109	124	1009
110	126	1012
111	127	1014
112	129	1013
113	130	1010
114	131	1015
115	133	1017
116	134	1013
117	135	1011
118	136	1009
119	137	1010
120	139	1011
121	140	1008
122	141	1006
123	142	1006
124	143	1006
125	144	1004
126	145	1002
127	146	1000
128	147	998
129	148	997
130	150	995
131	151	995
132	152	994
133	153	993
134	154	991
135	155	989
136	156	987
137	159	993
138	160	992
139	161	990
140	162	991
141	163	987
142	164	985
143	165	983
144	166	981
145	167	980
146	168	978
147	169	978
148	170	976
149	172	976
150	173	976
151	175	981
152	177	981
153	178	980
154	179	979
155	180	977
156	182	978
157	183	977
158	184	976
159	185	974
160	186	971
161	188	974
162	189	975
163	191	974
164	192	973
165	193	971
166	194	970
167	195	969
168	197	968
169	198	967
170	199	966
171	200	965
172	201	965
173	203	966
174	204	965
175	205	964
176	207	962
177	208	962
178	209	961
179	210	959
180	211	957
181	213	958
182	214	957
183	216	960
184	217	959
185	218	957
186	220	956
187	221	956
188	222	955
189	223	953
190	225	954
191	226	953
192	227	952
193	229	952
194	230	952
195	232	952
196	233	952
197	235	952
198	236	951
199	238	952
200	239	951
201	240	951
202	242	951
203	244	955
204	246	955
205	247	953
206	248	953
207	250	952
208	251	951
209	252	949
210	253	948
211	254	946
212	255	944
213	256	942
214	257	940
215	258	939
216	259	937
217	260	935
218	262	934
219	264	936
220	265	934
221	266	933
222	267	931
